tract_fips_2020,Tract_fips_2022,tract_name,town_name,town_fips_2020,town_fips_2022,county_name,county_fips_2020,ce_name_2022,ce_fips_2022,PUMA2020code,PUMA2020name,school_district_code,school_district_name,zip5_zcta2020
9009184101,9170184101,1841.01,Branford,900907310,917007310,New Haven,9009,South Central Connecticut Planning Region,9170,20504,South Central East,14,Branford,06405
9009167101,9170167101,1671.01,North Haven,900954870,917054870,New Haven,9009,South Central Connecticut Planning Region,9170,20504,South Central East,101,North Haven,06473
9009180101,9170180101,1801.01,East Haven,900922910,917022910,New Haven,9009,South Central Connecticut Planning Region,9170,20504,South Central East,44,East Haven,06512
9009350101,9140350101,3501.01,Waterbury,900980070,914080070,New Haven,9009,Naugatuck Valley Planning Region,9140,20601,Waterbury Town,151,Waterbury,06702
9009166003,9170166003,1660.03,Hamden,900935650,917035650,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,62,Hamden,06518
9009142605,9170142605,1426.05,New Haven,900952070,917052070,New Haven,9009,South Central Connecticut Planning Region,9170,20501,New Haven Town,93,New Haven,06513
9009175502,9170175502,1755.02,Wallingford,900978740,917078740,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,148,Wallingford,06492
9009180102,9170180102,1801.02,East Haven,900922910,917022910,New Haven,9009,South Central Connecticut Planning Region,9170,20504,South Central East,44,East Haven,06512
9009130202,9140130202,1302.02,Seymour,900967610,914067610,New Haven,9009,Naugatuck Valley Planning Region,9140,20603,Naugatuck Valley South,124,Seymour,06483
9009140102,9170140102,1401.02,New Haven,900952070,917052070,New Haven,9009,South Central Connecticut Planning Region,9170,20501,New Haven Town,93,New Haven,06510
9009141301,9170141301,1413.01,New Haven,900952070,917052070,New Haven,9009,South Central Connecticut Planning Region,9170,20501,New Haven Town,93,New Haven,06515
9009167102,9170167102,1671.02,North Haven,900954870,917054870,New Haven,9009,South Central Connecticut Planning Region,9170,20504,South Central East,101,North Haven,06473
9009166004,9170166004,1660.04,Hamden,900935650,917035650,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,62,Hamden,06518
9009154102,9170154102,1541.02,West Haven,900982870,917082870,New Haven,9009,South Central Connecticut Planning Region,9170,20502,South Central West,156,West Haven,06516
9009171202,9170171202,1712.02,Meriden,900946520,917046520,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,80,Meriden,06450
9009167301,9170167301,1673.01,North Haven,900954870,917054870,New Haven,9009,South Central Connecticut Planning Region,9170,20504,South Central East,101,North Haven,06473
9009175501,9170175501,1755.01,Wallingford,900978740,917078740,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,148,Wallingford,06492
9009194101,9170194101,1941.01,Madison,900944560,917044560,New Haven,9009,South Central Connecticut Planning Region,9170,20504,South Central East,76,Madison,06443
9009154101,9170154101,1541.01,West Haven,900982870,917082870,New Haven,9009,South Central Connecticut Planning Region,9170,20502,South Central West,156,West Haven,06516
9009194102,9170194102,1941.02,Madison,900944560,917044560,New Haven,9009,South Central Connecticut Planning Region,9170,20504,South Central East,76,Madison,06443
9009171201,9170171201,1712.01,Meriden,900946520,917046520,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,80,Meriden,06450
9009130201,9140130201,1302.01,Seymour,900967610,914067610,New Haven,9009,Naugatuck Valley Planning Region,9140,20603,Naugatuck Valley South,124,Seymour,06483
9009140101,9170140101,1401.01,New Haven,900952070,917052070,New Haven,9009,South Central Connecticut Planning Region,9170,20501,New Haven Town,93,New Haven,06510
9009351601,9140351601,3516.01,Waterbury,900980070,914080070,New Haven,9009,Naugatuck Valley Planning Region,9140,20601,Waterbury Town,151,Waterbury,06708
9009351500,9140351500,3515,Waterbury,900980070,914080070,New Haven,9009,Naugatuck Valley Planning Region,9140,20601,Waterbury Town,151,Waterbury,06706
9009150300,9170150300,1503,Milford,900947535,917047535,New Haven,9009,South Central Connecticut Planning Region,9170,20502,South Central West,84,Milford,06460
9009150600,9170150600,1506,Milford,900947535,917047535,New Haven,9009,South Central Connecticut Planning Region,9170,20502,South Central West,84,Milford,06461
9009165200,9170165200,1652,Hamden,900935650,917035650,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,62,Hamden,06517
9009171300,9170171300,1713,Meriden,900946520,917046520,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,80,Meriden,06450
9009171400,9170171400,1714,Meriden,900946520,917046520,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,80,Meriden,06450
9009171500,9170171500,1715,Meriden,900946520,917046520,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,80,Meriden,06450
